"CITY","ID","NAME","AREA","COORD","QUALITY_INDEX","MEAN_NDVI","ISMT","ISMT_LEVEL"
"Antofagasta","210110064","LOS EVENTOS",30648.7863296488,"357525.5, 7386124",63.125,0.083358679309095,0.60786088965193,"Medium High"
"Antofagasta","210110066","BERNARDO O'HIGGINS",7641.74018673197,"357586.4, 7385098",59.5833333333,0.140065609526923,0.660019277071362,"High"
"Antofagasta","210110067",NA,2112.29836240993,"358512.7, 7384680",68.25,0.117952340430983,0.526096093957935,"Medium Low"
"Antofagasta","210110068","COLÓN",11334.2563851727,"357416.3, 7384225",83.6666666667,0.256423085641149,0.698879303973707,"High"
"Antofagasta","210110068","COLÓN",11334.2563851727,"357532.1, 7384222",75.25,0.0506028080547,0.698879303973707,"High"
"Antofagasta","210110070","SECTOR ESTACIÓN",1174.2110951236,"357964.8, 7385242",-1,0.109611501986747,0.656787107871744,"High"
"Antofagasta","210110072","SIMON BOLÍVAR",1771.20552376597,"356988.4, 7383922",-1,0.153504426144775,0.698879303972836,"High"
"Antofagasta","210110073","CORONEL EMILIO SOTOMAYOR",5991.57885243197,"357448.4, 7383659",-1,0.153250272339994,0.698879303973489,"High"
"Antofagasta","210110074",NA,1308.97348630774,"358610.1, 7383649",67.9166666667,0.092785972511136,0.502650621376757,"Medium Low"
"Antofagasta","210110075","ESMERALDA",1241.08581958432,"357977.8, 7382972",67.5833333333,0.16203097350797,0.650655664565638,"High"
"Antofagasta","210110076","HOSPITAL",516.091251254082,"357585.9, 7382898",47.375,0.132383166573661,0.643038320480382,"High"
"Antofagasta","210110078","DEL PUERTO",1773.16402525827,"356922.9, 7383425",82,0.110282734665694,0.698879303973376,"High"
"Antofagasta","210110079","ARTURO PRAT",1201.60682412007,"356967.6, 7383237",59,0.098092635982732,0.698879303975252,"High"
"Antofagasta","210110080","GRECIA",918.195069471499,"356906.9, 7382752",47.375,0.089135522506951,0.757825057472762,"High"
"Antofagasta","210110082","FAVORECEDORA",2334.40314569912,"357244.5, 7381816",68.5833333333,0.19183013667605,0.629138288071768,"Medium High"
"Antofagasta","210110087","LAS ALMEJAS",18743.2220004827,"356190.3, 7381347",64.9166666667,0.183425534171632,0.717381646976521,"High"
"Antofagasta","210110087","LAS ALMEJAS",18743.2220004827,"356041.5, 7381293",-1,0.094836995297075,0.717381646976521,"High"
"Antofagasta","210110087","LAS ALMEJAS",18743.2220004827,"356207.2, 7381414",-1,0.156849744723945,0.717381646976521,"High"
"Antofagasta","210110088","BLUMELL",513.7383162427,"356288.2, 7381099",52.0416666667,0.090904074226512,0.717381646977492,"High"
"Antofagasta","210110089","NAVIDAD",566.092210746021,"356094.8, 7381069",67.25,0.106454709010875,0.717381646973702,"High"
"Antofagasta","210110090","SECUNDINO CARRIZO 1",734.6983903785,"356637.5, 7379827",30.625,0.161929116139041,0.709782109910189,"High"
"Antofagasta","210110091",NA,1945.18041946832,"356620.3, 7379657",67.9166666667,0.132321599402594,0.719040286671978,"High"
"Antofagasta","210110092","MONTURAQUI",1136.74411821656,"356631.8, 7379313",67.5833333333,0.199018366621902,0.71904028667368,"High"
"Antofagasta","210110093","EL CUNCO",637.390351486392,"356379.9, 7379559",67.5833333333,0.115161565946262,0.736180837504754,"High"
"Antofagasta","210110094","CERRO TRAPECIO",951.735215171499,"356475.7, 7379235",51.7083333333,0.128011522555768,0.71904028667172,"High"
"Antofagasta","210110096",NA,961.968509553699,"356614.8, 7379090",47.7083333333,0.13698944237102,0.714544927496373,"High"
"Antofagasta","210110097",NA,855.812005199565,"355982.1, 7378844",38.875,0.098611250057701,0.714544927495186,"High"
"Antofagasta","210110098","CAU CAU",1296.00454485699,"356356.7, 7378806",48.0416666667,0.086559971405993,0.714544927496118,"High"
"Antofagasta","210110099",NA,744.180111655965,"356032.9, 7378891",67.5833333333,0.096945540390589,0.71454492749675,"High"
"Antofagasta","210110100","VILLA INDEPENDENCIA",1053.92547440814,"356258.1, 7379041",63.25,0.105360875020061,0.714544927496357,"High"
"Antofagasta","210110101","RAPAHUE",1230.90977893621,"356129.6, 7379366",-1,0.133511985655965,0.736180837504995,"High"
"Antofagasta","210110102","SANTA CLARA",979.446222557628,"356125.1, 7379302",-1,0.142555690713442,0.736180837504554,"High"
"Antofagasta","210110104",NA,687.362874215294,"355424, 7377489",59.25,0.124357177908613,0.730715618393888,"High"
"Antofagasta","210110105",NA,907.606779092923,"355702.7, 7377658",63.25,0.112202143287957,0.768540574719508,"High"
"Antofagasta","210110106",NA,3089.41388025759,"355385.1, 7377442",67.5833333333,0.164431579515836,0.730715618395074,"High"
"Antofagasta","210110107","SALAR DE PUNTA NEGRA",998.39694412658,"355051.1, 7377195",63.9166666667,0.129497756032352,0.8086762946319,"High"
"Antofagasta","210110108",NA,498.936106206849,"354709.8, 7377116",40.875,0.224749204325281,0.808676294630768,"High"
"Antofagasta","210110109",NA,1113.62387000346,"354164.2, 7377082",44.875,0.17107622644769,0.808676294620317,"High"
"Antofagasta","210110115",NA,696.468773353205,"354203.5, 7376899",61.4166666667,0.159986948333842,0.80867629463031,"High"
"Antofagasta","210110116",NA,725.919474848313,"354309.8, 7376756",61.0833333333,0.105451037877499,0.808676294631157,"High"
"Antofagasta","210110117",NA,1854.51835741301,"353997.8, 7376553",65.0833333333,0.152871920894008,0.808676294630514,"High"
"Antofagasta","210110118",NA,795.054681861133,"354120.5, 7376541",67.5833333333,0.132158974528684,0.808676294630472,"High"
"Antofagasta","210110119",NA,1003.22849032935,"354058.4, 7376462",55.9166666667,0.170372878842727,0.80867629463112,"High"
"Antofagasta","210110120",NA,844.833928300795,"353944.4, 7376640",63.25,0.133664571908307,0.808676294632551,"High"
"Antofagasta","210110124",NA,2534.76163879369,"357420.1, 7392556",-1,0.242737092660175,0.707570433198603,"High"
"Antofagasta","210110125",NA,9416.79639152836,"357670.4, 7392011",-1,0.108381528438331,0.673313416585991,"High"
"Antofagasta","210110126",NA,5089.13824264891,"357386.7, 7392764",-1,0.141923960271646,0.707570433200612,"High"
"Antofagasta",NA,NA,521.316381408455,"357315.2, 7393645",-1,0.159634154879161,0.706130133678547,"High"
"Antofagasta",NA,NA,3579.1122973462,"357310.5, 7393261",-1,0.156317901408198,0.740550280408626,"High"
"Antofagasta","210110144",NA,2026.12777546485,"358140.9, 7393798",-1,0.160119864076832,0.695956340289085,"High"
"Antofagasta","210110147",NA,558.239100075705,"357720.1, 7395011",-1,0.124268490795401,0.669848479922038,"High"
"Antofagasta","210110158",NA,2397.22728627548,"358474, 7393681",-1,0.116263919806761,0.669657421835401,"High"
"Antofagasta","210110163",NA,685.712765735574,"358220.3, 7393408",-1,0.158699536054956,0.695956340289436,"High"
"Antofagasta","210110183",NA,697.160844994709,"357922.9, 7393135",-1,0.152846475403634,0.707570433199401,"High"
"Antofagasta","210110188",NA,664.334013101776,"357902.8, 7392914",-1,0.109296842472893,0.707570433201824,"High"
"Antofagasta","210110189",NA,664.333561482941,"357999.6, 7392915",-1,0.131769661444842,0.707570433200539,"High"
"Antofagasta","210110190",NA,1409.47804176389,"358014.3, 7392621",-1,0.16218448192466,0.707570433201483,"High"
"Antofagasta","210110196",NA,1551.43717987463,"357732.2, 7392564",-1,0.179013441928611,0.707570433200934,"High"
"Antofagasta","210110197",NA,1020.82076609693,"357494, 7392429",-1,0.140318726855473,0.70757043320105,"High"
"Antofagasta","210110198","EL MIRADOR",1289.79503549141,"357820.3, 7392363",52.125,0.12393610595662,0.707570433200677,"High"
"Antofagasta","210110199",NA,1033.858167395,"357961.4, 7392443",-1,0.144676092893427,0.70757043319945,"High"
"Antofagasta","210110202",NA,3262.68541394809,"358892.3, 7393187",67.9166666667,0.118924804747109,0.502112848803532,"Medium Low"
"Antofagasta","210110207",NA,2352.35338235935,"359451.2, 7392777",48.9166666667,0.054745652011009,0.53115198352393,"Medium High"
"Antofagasta","210110211",NA,528.821381670947,"359001.6, 7392573",20.5,0.061167989845913,0.547343380854168,"Medium High"
"Antofagasta","210110213",NA,840.179687153432,"359086, 7392489",30,0.076665677769223,0.547343380855551,"Medium High"
